gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3997057273	StillImage	image/jpeg	https://observation.org/photos/60661762.jpg							sandermol			http://creativecommons.org/licenses/by-nc-nd/4.0/	sandermol
3997057273	StillImage	image/jpeg	https://observation.org/photos/60661760.jpg							sandermol			http://creativecommons.org/licenses/by-nc-nd/4.0/	sandermol
3997057273	StillImage	image/jpeg	https://observation.org/photos/60661761.jpg							sandermol			http://creativecommons.org/licenses/by-nc-nd/4.0/	sandermol
3996161391	StillImage	image/jpeg	https://observation.org/photos/60605389.jpg							Philippe Cattelain			http://creativecommons.org/licenses/by-nc-nd/4.0/	Philippe Cattelain
3996161391	StillImage	image/jpeg	https://observation.org/photos/60605387.jpg							Philippe Cattelain			http://creativecommons.org/licenses/by-nc-nd/4.0/	Philippe Cattelain
3996161391	StillImage	image/jpeg	https://observation.org/photos/60605388.jpg							Philippe Cattelain			http://creativecommons.org/licenses/by-nc-nd/4.0/	Philippe Cattelain
3995777260	StillImage	image/jpeg	https://observation.org/photos/60876961.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
3995777260	StillImage	image/jpeg	https://observation.org/photos/60876962.jpg							Dennis Maas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dennis Maas
3995611088	StillImage	image/jpeg	https://observation.org/photos/60665626.jpg							Marijke Van Loocke			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marijke Van Loocke
3995611088	StillImage	image/jpeg	https://observation.org/photos/60665628.jpg							Marijke Van Loocke			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marijke Van Loocke
3995611088	StillImage	image/jpeg	https://observation.org/photos/60665627.jpg							Marijke Van Loocke			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marijke Van Loocke
3995611088	StillImage	image/jpeg	https://observation.org/photos/60665629.jpg							Marijke Van Loocke			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marijke Van Loocke
3994224130	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/247402977/original.jpg	https://www.inaturalist.org/photos/247402977					2022-12-11T23:15:37Z	swimjamie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	swimjamie
3994224130	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/247402987/original.jpg	https://www.inaturalist.org/photos/247402987					2022-12-11T23:15:02Z	swimjamie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	swimjamie
3994182094	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/247349948/original.jpeg	https://www.inaturalist.org/photos/247349948					2022-07-20T04:38:53Z	Julien Bottinelli		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julien Bottinelli
3994182094	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/247349932/original.jpeg	https://www.inaturalist.org/photos/247349932					2022-07-20T04:38:51Z	Julien Bottinelli		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julien Bottinelli
3986031319	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/27005015/original.jpg	https://www.inaturalist.org/photos/27005015					2018-10-11T17:46:25Z	Bernard Picton		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Bernard Picton
3985792318	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/244024238/original.jpeg	https://www.inaturalist.org/photos/244024238					2022-11-18T20:30:24Z	faluke		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	faluke
3985792318	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/244024174/original.jpeg	https://www.inaturalist.org/photos/244024174					2022-11-18T20:30:20Z	faluke		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	faluke
3985730862	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235797697/original.jpg	https://www.inaturalist.org/photos/235797697					2022-10-05T19:19:19Z	Anne Thomson		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Anne Thomson
3985730862	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235797732/original.jpg	https://www.inaturalist.org/photos/235797732					2022-10-05T19:19:19Z	Anne Thomson		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Anne Thomson
3985730862	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235797765/original.jpg	https://www.inaturalist.org/photos/235797765					2022-10-05T19:19:19Z	Anne Thomson		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Anne Thomson
3985657775	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225511628/original.jpg	https://www.inaturalist.org/photos/225511628					2022-08-12T17:19:31Z	Anne Thomson		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Anne Thomson
3985657775	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225511602/original.jpg	https://www.inaturalist.org/photos/225511602					2022-08-12T17:19:31Z	Anne Thomson		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Anne Thomson
3966493125	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/243152029/original.jpeg	https://www.inaturalist.org/photos/243152029					2010-01-31T22:25:33Z	patricklm35		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	patricklm35
3963259988	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241661093/original.jpeg	https://www.inaturalist.org/photos/241661093					2022-10-29T23:05:25Z	Gaël Covain		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gaël Covain
3963259988	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241661080/original.jpeg	https://www.inaturalist.org/photos/241661080					2022-10-29T23:05:22Z	Gaël Covain		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gaël Covain
3963259988	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241661108/original.jpeg	https://www.inaturalist.org/photos/241661108					2022-10-29T23:05:56Z	Gaël Covain		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gaël Covain
3961499577	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241038009/original.jpg	https://www.inaturalist.org/photos/241038009					2022-10-31T21:19:09Z	Emanuele Santarelli		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Emanuele Santarelli
3961499577	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241038054/original.jpg	https://www.inaturalist.org/photos/241038054					2022-10-31T21:19:49Z	Emanuele Santarelli		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Emanuele Santarelli
3961499577	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241038100/original.jpg	https://www.inaturalist.org/photos/241038100					2022-10-31T21:20:27Z	Emanuele Santarelli		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Emanuele Santarelli
3925039721	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234272334/original.jpeg	https://www.inaturalist.org/photos/234272334					2022-10-01T15:00:21Z	GMarques		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	GMarques
3925039721	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234272254/original.jpeg	https://www.inaturalist.org/photos/234272254					2022-10-01T23:00:23Z	GMarques		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	GMarques
3925039721	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234272290/original.jpeg	https://www.inaturalist.org/photos/234272290					2022-10-01T15:00:21Z	GMarques		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	GMarques
3907380601	StillImage	image/jpeg	https://observation.org/photos/56153158.jpg							Wisse			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wisse
3907279877	StillImage	image/jpeg	https://observation.org/photos/56821542.jpg							Suzanna			http://creativecommons.org/licenses/by-nc-nd/4.0/	Suzanna
3906533235	StillImage	image/jpeg	https://observation.org/photos/56983531.jpg							Frank Reurs			http://creativecommons.org/licenses/by-nc/4.0/	Frank Reurs
3906533235	StillImage	image/jpeg	https://observation.org/photos/56983530.jpg							Frank Reurs			http://creativecommons.org/licenses/by-nc/4.0/	Frank Reurs
3906300649	StillImage	image/jpeg	https://observation.org/photos/55781087.jpg							steenarendje			http://creativecommons.org/licenses/by-nc-nd/4.0/	steenarendje
3906283585	StillImage	image/jpeg	https://observation.org/photos/56984185.jpg							Frank Reurs			http://creativecommons.org/licenses/by-nc/4.0/	Frank Reurs
3906283585	StillImage	image/jpeg	https://observation.org/photos/56984186.jpg							Frank Reurs			http://creativecommons.org/licenses/by-nc/4.0/	Frank Reurs
3905992412	StillImage	image/jpeg	https://observation.org/photos/56153107.jpg							Wisse			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wisse
3905578485	StillImage	image/jpeg	https://observation.org/photos/56696018.jpg							Frank Reurs			http://creativecommons.org/licenses/by-nc/4.0/	Frank Reurs
3905578485	StillImage	image/jpeg	https://observation.org/photos/56696019.jpg							Frank Reurs			http://creativecommons.org/licenses/by-nc/4.0/	Frank Reurs
3904698443	StillImage	image/jpeg	https://observation.org/photos/52724128.jpg							Nadja De Buck			http://creativecommons.org/licenses/by-nc-nd/4.0/	Nadja De Buck
3904698443	StillImage	image/jpeg	https://observation.org/photos/52724129.jpg							Nadja De Buck			http://creativecommons.org/licenses/by-nc-nd/4.0/	Nadja De Buck
3904674755	StillImage	image/jpeg	https://observation.org/photos/57045070.jpg							Maakun			http://creativecommons.org/publicdomain/zero/1.0/	Maakun
3904674755	StillImage	image/jpeg	https://observation.org/photos/57045071.jpg							Maakun			http://creativecommons.org/publicdomain/zero/1.0/	Maakun
3903224733	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/226950741/original.png	https://www.inaturalist.org/photos/226950741					2022-07-16T20:45:00Z	Nataël Adam		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nataël Adam
